,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Chillsha,2,4,4,23,32,32,36,36,42,42,45,45,47,48,48,49,51,52,52,54
Denthey,2,3,4,20,27,27,31,31,36,36,38,38,40,41,43,45,47,47,48,49
Dythu,2,3,4,18,27,27,32,32,32,34,36,37,39,40,42,43,43,44,45,46
Lazycakes,2,4,4,20,28,28,34,34,41,44,46,47,48,49,49,49,50,50,50,52
Whomps,3,4,4,21,29,32,37,37,42,45,47,47,47,47,48,49,49,49,49,50
Arkilius,3,4,4,4,4,4,4,4,4,8,10,11,12,12,13,15,18,18,18,19
Taitzelu,2,4,5,20,28,28,34,34,40,44,44,44,45,47,48,50,50,51,52,54
Bringbacktbc,2,3,3,17,27,28,32,32,37,42,45,46,48,51,51,52,53,53,53,54
Synop,4,5,5,23,30,30,35,35,40,42,44,44,45,46,47,48,49,50,50,51
Graazt,2,3,4,18,25,25,30,30,36,39,41,41,42,45,47,48,50,50,51,52
Ragaga,1,3,3,19,28,30,33,33,38,41,43,43,45,46,46,47,48,48,48,50
Yaella,1,4,4,18,24,25,28,28,32,34,37,37,39,40,40,41,42,42,42,45
Danzibar,1,3,3,18,31,32,36,36,42,45,48,48,50,52,53,55,56,56,56,58
Doybear,2,3,4,22,32,33,39,39,46,48,51,51,53,54,56,58,59,60,61,62
Drmilkshake,1,2,3,18,26,26,31,31,37,40,42,43,44,45,45,46,50,52,53,54
Chelsea,0,1,1,17,25,25,28,28,33,37,40,41,43,44,45,47,48,49,49,50
Zheek,0,1,1,1,1,1,1,1,1,1,1,1,1,2,3,6,7,7,7,8
Zannx,1,2,3,18,27,28,31,31,37,37,39,39,41,44,44,46,48,48,49,50
Lobbol,1,1,1,22,32,33,36,36,41,44,46,47,49,50,50,51,52,52,52,52
Porass,0,1,1,18,26,26,30,30,35,38,39,39,41,42,42,42,43,43,43,44
Greggie,2,2,2,23,32,32,32,32,38,40,40,40,42,45,46,47,48,49,49,49
Ikkib,1,2,2,19,27,30,34,34,38,43,45,45,45,47,49,50,52,52,52,53
Facenature,1,2,2,2,8,8,8,8,12,14,16,16,16,16,16,16,17,18,18,19
Dispelshot,1,1,1,16,16,16,21,21,26,28,29,30,31,33,33,35,36,37,37,37
Aviendhan,1,2,2,16,24,24,29,29,38,41,44,45,47,48,51,52,54,54,54,55
Brahm,1,3,3,18,25,25,30,30,30,34,34,34,36,38,41,43,44,45,45,47
Talafatka,1,2,2,18,18,18,24,24,28,33,37,39,40,41,41,43,44,44,44,45
Lohelf,1,2,2,12,19,21,25,25,30,32,33,33,34,35,35,36,37,37,37,38
Checkerdkay,0,0,0,0,8,8,14,14,21,23,24,24,26,26,26,26,26,26,26,26
Mackoztl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zenrih,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deadelves,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
