,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Chillsha,1,2,3,3,5,7,8,11,13,13,15,17,21,21,22,23,25,26,27,28
Denthey,0,1,1,1,2,3,3,5,6,6,6,6,8,8,9,10,10,11,11,12
Dythu,0,2,5,5,8,8,8,11,11,15,17,18,21,23,25,27,27,28,31,33
Lazycakes,0,2,6,6,7,7,8,10,12,16,19,20,21,22,23,23,24,26,30,32
Whomps,0,1,3,3,6,8,9,11,16,19,20,22,22,22,24,25,25,27,29,30
Arkilius,0,2,2,2,2,2,2,2,2,7,11,12,13,13,15,15,15,16,16,18
Taitzelu,0,2,4,4,7,9,10,10,14,16,16,16,18,19,19,19,19,20,22,24
Bringbacktbc,0,1,4,4,5,8,8,10,14,17,17,17,19,20,22,23,25,25,28,29
Synop,0,1,2,2,2,2,3,4,6,9,10,10,11,11,11,12,12,13,14,15
Graazt,1,2,2,2,4,7,7,10,12,14,15,16,19,19,21,21,22,23,23,24
Ragaga,0,3,3,3,5,9,11,12,17,19,22,22,23,24,25,25,29,30,30,33
Yaella,0,1,1,1,4,6,6,7,9,12,12,12,13,14,15,15,15,16,16,17
Danzibar,0,2,3,3,5,10,11,15,17,26,30,30,35,37,37,37,39,39,40,42
Doybear,0,1,2,2,3,7,7,9,10,14,14,15,19,20,23,23,23,27,28,29
Drmilkshake,0,2,4,4,5,8,9,11,16,17,18,18,20,22,23,26,27,28,30,32
Chelsea,0,1,1,1,2,5,5,6,9,11,11,13,16,17,19,19,19,20,20,21
Zheek,0,1,1,1,1,1,1,1,1,1,1,1,1,4,7,9,10,11,11,12
Zannx,0,1,2,2,4,5,7,10,14,14,15,17,18,18,18,18,18,19,20,21
Lobbol,0,0,1,1,4,6,6,8,12,16,17,17,19,19,21,21,22,25,26,26
Porass,0,1,2,2,3,5,5,7,10,13,14,15,17,17,17,17,17,21,22,23
Greggie,0,0,3,3,4,5,5,7,9,11,11,14,18,20,21,23,24,25,28,28
Ikkib,0,2,5,5,8,10,11,14,17,19,21,22,22,23,24,25,25,26,29,31
Facenature,0,1,3,3,9,12,12,12,17,19,20,20,20,20,20,20,20,21,23,24
Dispelshot,0,0,1,1,1,3,5,7,9,12,12,12,15,17,17,17,17,18,19,19
Aviendhan,0,0,0,0,2,6,7,9,10,14,14,14,15,16,16,16,18,19,19,19
Brahm,0,1,1,1,2,4,4,5,5,8,8,8,10,10,10,11,12,13,13,14
Talafatka,0,1,1,1,1,3,5,8,10,14,17,19,24,25,25,25,26,26,26,27
Lohelf,0,1,1,1,3,5,5,7,8,10,10,11,13,14,14,15,16,17,17,18
Checkerdkay,0,0,0,0,1,4,6,9,13,16,17,18,19,19,19,19,19,19,19,19
Mackoztl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zenrih,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2
Deadelves,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
